provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_21,M43 7SP,79000,"Holly Bank,",2,nan
belvoir_22,M4 4BJ,140000,"Damaz,
						Sharp Street,",2,753
belvoir_23,M6 6LS,48500,"Broughton Road,
						Salford,",1,nan
belvoir_24,M4 4TG,86000,"Skyline Chambers,
						Ludgate Hill,",belvoir_null_182,12320
belvoir_25,M16 8HA,675,"Spring Bridge Road,						Chorlton,",2,14965
belvoir_26,M1 6HR,115000,"Princess Street,",1,708
belvoir_27,M1 5TF,200000,"The Foundry,
						Lower Chatham Street,",2,2461
belvoir_28,M15 4QG,265000,"Castlegate,
						Chester Road,",2,15184
belvoir_29,M16 0DZ,210000,"Manchester Road,
						Old Trafford,",2,5726
belvoir_30,M16 0DZ,210000,"Manchester Road,
						Old Trafford,",2,5726
belvoir_31,M16 0DZ,210000,"Manchester Road,
						Old Trafford,",2,5726
belvoir_32,M35 0AX,79500,"Brown Street,",2,nan
belvoir_33,M5 3WJ,99950,"Ordsall Lane,
						Salford,",2,nan
belvoir_34,M14 5BB,585,"Hope Road,",1,5904
belvoir_35,M5 3NB,110000,"Quay 5,
						Ordsall Lane,",2,nan
belvoir_36,M4 4BZ,125000,"Krupa Building,
						Sharp Street,",2,12320
belvoir_37,M15 4TD,160000,"28 City Road East,",2,12168
belvoir_38,M19 2LZ,995,"Burnside Drive,						Burnage,",3,6941
belvoir_39,M6 7DZ,695,"Chaseley Field Mansions,						21 Chasley Road,",1,nan
belvoir_40,M9 8QB,725,"Lakeside Rise,",3,4731
belvoir_41,M21 9JN,825,"Summerfield Court,						Edge Lane,",2,14724
belvoir_42,M4 1PN,860,"18 Church Street,",2,34
belvoir_43,M35 0DF,550,"Grimshaw Street,",4,nan
belvoir_44,M1 3PW,1550,"Brazil Street,",2,708
belvoir_45,M9 8AS,550,"Hilbury Avenue,",2,2156
belvoir_46,M4 4FQ,950,"Lord Street,",2,17255
belvoir_47,M18 7TP,650,"Hamsterley Avenue,",3,6408
belvoir_48,M4 6AH,950,"35 Radium Street,",2,733
belvoir_49,M9 8DR,395,"Old School Court,						Blackley,",1,3074
belvoir_50,M6 7DZ,975,"Chaseley Road,",2,nan
belvoir_51,M15 6BN,375,"Cavendish Hall,						Cavendish Street,",1,8522
belvoir_52,M9 8QA,600,"Bellfield Close,",2,3074
belvoir_53,M21 0RD,1400,"Manley Road,						Chorlton,",4,2417
belvoir_54,M8 4NA,500,"212 Middleton Road,",2,176
belvoir_55,M13 0RH,775,"Vie Building,						189 Water Street,",2,1470
belvoir_56,M9 7HQ,575,"Spindletree Avenue,",2,11291
belvoir_57,M13 9DP,1300,"Lauderdale Crescent,",4,12632
belvoir_58,M4 4BW,750,"Red Building,						Ludgate Hill,",2,12320
belvoir_59,M16 8AU,895,"Railton Avenue,						Whalley Range,",3,4203
belvoir_60,M14 5BB,795,"Hope Road,",3,5904
belvoir_61,M13 0RH,750,"34 Navigation Street,",1,1470
belvoir_62,M13 0RH,895,"34 Navigation Street,",2,1470
belvoir_63,M4 4BW,775,"6 Ludgate Hill,",2,12320
belvoir_64,M21 7BD,1150,"Chelsfield Grove,						Chorlton,",4,5044
belvoir_65,M1 3DA,1200,"The Grand,						Aytoun Street,",2,708
belvoir_66,M15 6FD,1100,"114 Boundry Lane,",3,6906
belvoir_67,M14 5RH,925,"Upper Park Road,",3,2823
belvoir_68,M1 5DD,2700,"Whitworth Street West,",2,4783
belvoir_69,M13 0RH,3500,"Blossom Street,",3,1470
belvoir_70,M14 5BB,650,"The Gables,						Hope Road,",2,5904
belvoir_71,M15 5AX,775,"Life Building,						99 Greenheys Lane West,",2,3277
belvoir_72,M1 5BD,1200,"Whitworth Street West,",2,4783
belvoir_73,M1 6BD,1100,"Asia House,						Princess Street,",2,2461
belvoir_74,M1 5QE,1200,"The Quadrangle,						Lower Ormond Street,",2,209
belvoir_75,M4 6JW,950,"Radium Street,						Ancoats,",2,733
belvoir_76,M8 4FL,725,"Sinclair Avenue,",3,6320
belvoir_77,M4 4AJ,950,"Masson Place,						1 Hornbeam Way,",2,17255
belvoir_78,M20 4NE,585,"Oak Court (Retirement),						Mauldeth Road,",1,1798
belvoir_79,M8 8YE,600,"Fairy Lane,						Cheetham Hill,",2,3501
belvoir_80,M15 4QU,belvoir_null_0,"Hill Quays,						1 Jordan Street,",3,12168
belvoir_81,M8 8BT,600,"Waterloo Place,						Waterloo Road,",2,3501
belvoir_82,M4 6JW,950,"Radium Street,						Ancoats ,",2,733
belvoir_83,M8 8BJ,600,"Flat 11, 16 Larch Gardens,						Cheetham Hill,",2,2840
belvoir_84,M15 4LG,775,"Worsley Mill,						10 Blantyre Street,",1,23205
belvoir_85,M13 0NW,675,"Plymouth Point,						3 Birch Lane, Longsight,",2,957
belvoir_86,M13 0RH,1395,"Avro House,						Navigation Street,",3,1470
belvoir_87,M4 7AJ,950,"Albion Mill,						Pollard Street,",2,3998
belvoir_88,M15 6GH,795,"St Philips Court,						Loxford Street, Hulme,",2,6906
belvoir_89,M15 5JP,750,"Life Building,						40 Hulme High Street,",2,3277
belvoir_90,M5 3WJ,600,"Ordsall Lane,						Salford,",2,nan
belvoir_91,M15 6BN,375,"Cavendish Hall,						Cavendish Street,",1,8522
belvoir_92,M1 5EB,1400,"W3 Building,						51 Whitworth Street West,",2,2461
belvoir_93,M15 5JR,795,"Life Building,						13 Hulme High Street, Hulme,",2,3277
belvoir_94,M13 0RH,850,"Vie Building,						191 Water Street,",2,1470
belvoir_95,M4 4TJ,775,"Ludgate Hill,",2,12320
belvoir_96,M15 6AZ,850,"Linen Quarter,						99 Denmark Road,",2,1755
belvoir_97,M15 4TD,1100,"The Nile,						City Road East ,",2,12168
belvoir_98,M15 4TA,1100,"The Nile,						24 City Road East,",2,12168
belvoir_99,M14 5BB,650,"The Gables,						6 Hope Road,",2,5904
belvoir_100,M15 5QH,1400,"Bold Street,						Hulme,",4,4022
belvoir_101,M4 4AD,950,"Masson Place,						Hornbean Avenue ,",1,9684
belvoir_102,M15 5JS,795,"Hulme High Street,						Hulme,",2,3277
belvoir_103,M40 9DH,725,"Kenyon Lane,",3,4052
belvoir_104,M46 0BW,550,"Hope Fold Avenue,",2,nan
belvoir_105,M15 4QY,1150,"Hill Quays,						8 Commercial Street,",2,796
belvoir_106,M15 4QX,1275,"Hill Quays,						Jordan Street,",2,12168
belvoir_107,M9 7GH,575,"Eastgate,						261 Victoria Avenue East,",2,16455
belvoir_108,M4 5BW,belvoir_null_1,"Old Sedgewick Mill,						2 Cotton Street,",3,7263
belvoir_109,M15 4QX,1550,"Hill Quays,						Jordan Street,",3,12168
belvoir_110,M11 1BE,795,"Old Lane,						Openshaw,",2,3219
belvoir_111,M1 5ED,belvoir_null_2,"W3 Building,						Whitworth Street West,",2,2461
belvoir_112,M9 8NT,675,"Oakshaw Close,						Blackley,",3,3074
belvoir_113,M14 5BB,675,"The Gables,						Hope Road,",2,5904
belvoir_114,M45 7EP,675,"Maple Avenue,",3,nan
belvoir_115,M15 4TB,795,"28 City Road East,",2,12168
belvoir_116,M15 4QX,860,"1 Jordan Street,",2,12168
belvoir_117,M15 4QW,795,"Commercial Street,",1,796
belvoir_118,M18 8GN,550,"Brightman Street,						Gorton,",3,4379
belvoir_119,M4 4BW,775,"6 Ludgate Hill,						Manchester,",2,12320
belvoir_120,M5 5JJ,300,"Weaste Lane,						Salford,",1,nan
belvoir_121,M13 0RH,950,"Sorting Office,						7 Mirabel Street,",2,1470
belvoir_122,M8 5DZ,500,"St Marys Hall Road,						Crumpsall,",2,332
belvoir_123,M15 4QH,860,"The Ropeworks,						Little Peter Street,",1,796
belvoir_124,M4 4BG,600,"Strong,						Simpson Street,",1,753
belvoir_125,M4 4AD,775,"Hemisphere,						Every Street,",2,9684
belvoir_126,M4 4BZ,775,"Sharp Street,",2,12320
belvoir_127,M13 0RH,725,"Longfield Centre,",2,1470
belvoir_128,M4 6BU,575,"Lampwick Lane,",1,3998
belvoir_129,M9 8QE,550,"Lakeside Rise,						Blackley,",2,4731
belvoir_130,M45 7FW,675,"Lime Avenue,						Whitefield,",3,nan
belvoir_131,M16 9LU,675,"Stamford Street,						Old Trafford,",2,nan
belvoir_132,M9 8QD,500,"Lakeside Rise,						Blackley,",2,4731
belvoir_133,M11 3TW,775,"Hartwell Close,						Beswick,",2,1174
belvoir_134,M40 5LH,550,"Alloway Walk,",3,704
belvoir_135,M9 8QB,500,"103 Old Market Street,						Blackley,",2,4731
belvoir_136,M21 0SF,585,"Egerton Road North,						Chorlton,",1,6927
belvoir_137,M8 5EA,belvoir_null_3,"Rectory Road,",2,332
belvoir_138,M9 8QE,600,"Lakeside Rise,						Blackley,",2,4731
belvoir_139,M9 8QB,500,"103 Old Market Street,						Blackley,",2,4731
belvoir_140,M9 8QB,500,"103 Old Market Street,						Blackley,",2,4731
